-596.500	0.086	11636330cytbx_znh6_0412
-596.500	0.097	11636342cytbx_znh18_0488
-596.482	0.068	11636339cytbx_znh15_0031
-596.477	0.074	11636325cytbx_znh1_0279
-596.467	0.080	11636342cytbx_znh18_0183
-596.465	0.094	11636341cytbx_znh17_0398
-596.450	0.078	11636334cytbx_znh10_0187
-596.450	0.093	11636331cytbx_znh7_0299
-596.449	0.096	11636325cytbx_znh1_0281
-596.449	0.099	11636330cytbx_znh6_0304
-596.421	0.092	11636338cytbx_znh14_0073
-596.415	0.091	11636325cytbx_znh1_0011
-596.410	0.102	11636341cytbx_znh17_0442
-596.398	0.099	11636325cytbx_znh1_0411
-596.397	0.099	11636331cytbx_znh7_0368
-596.388	0.093	11636339cytbx_znh15_0463
-596.371	0.088	11636341cytbx_znh17_0090
-596.365	0.082	11636330cytbx_znh6_0127
-596.358	0.091	11636330cytbx_znh6_0397
-596.328	0.096	11636341cytbx_znh17_0291
-596.313	0.089	11636341cytbx_znh17_0232
-596.307	0.073	11636341cytbx_znh17_0124
-596.305	0.087	11636334cytbx_znh10_0368
-596.303	0.098	11636330cytbx_znh6_0031
-596.302	0.076	11636326cytbx_znh2_0162
-596.299	0.081	11636336cytbx_znh12_0247
-596.289	0.095	11636337cytbx_znh13_0029
-596.283	0.087	11636330cytbx_znh6_0108
-596.268	0.095	11636334cytbx_znh10_0463
-596.259	0.090	11636325cytbx_znh1_0063
-596.243	0.092	11636328cytbx_znh4_0081
-596.226	0.090	11636331cytbx_znh7_0271
-596.222	0.071	11636339cytbx_znh15_0198
-596.205	0.088	11636333cytbx_znh9_0236
-596.195	0.081	11636337cytbx_znh13_0075
-596.181	0.092	11636343cytbx_znh19_0370
-596.177	0.081	11636341cytbx_znh17_0441
-596.174	0.089	11636333cytbx_znh9_0267
-596.173	0.078	11636330cytbx_znh6_0044
-596.171	0.096	11636339cytbx_znh15_0104
-596.166	0.092	11636331cytbx_znh7_0282
-596.162	0.092	11636325cytbx_znh1_0071
-596.160	0.079	11636330cytbx_znh6_0052
-596.151	0.097	11636333cytbx_znh9_0198
-596.148	0.089	11636326cytbx_znh2_0303
-596.146	0.076	11636332cytbx_znh8_0352
-596.131	0.088	11636339cytbx_znh15_0085
-596.116	0.086	11636325cytbx_znh1_0176
-596.106	0.092	11636332cytbx_znh8_0364
-596.103	0.088	11636340cytbx_znh16_0337
-596.102	0.096	11636333cytbx_znh9_0026
-596.093	0.095	11636343cytbx_znh19_0215
-596.085	0.089	11636340cytbx_znh16_0081
