-580.537	0.089	11720707cytbx_bcl1_0470
-580.536	0.099	11720708cytbx_bcl2_0138
-580.526	0.104	11720714cytbx_bcl8_0273
-580.521	0.126	11720725cytbx_bcl17_0305
-580.519	0.103	11720727cytbx_bcl19_0289
-580.509	0.091	11720715cytbx_bcl9_0192
-580.454	0.092	11720726cytbx_bcl18_0380
-580.430	0.083	11720720cytbx_bcl12_0117
-580.410	0.102	11720707cytbx_bcl1_0291
-580.407	0.109	11720716cytbx_bcl10_0001
-580.395	0.105	11720711cytbx_bcl5_0084
-580.392	0.127	11720725cytbx_bcl17_0496
-580.385	0.102	11720702cytbx_bcl20_0301
-580.322	0.095	11720712cytbx_bcl6_0454
-580.321	0.097	11720710cytbx_bcl4_0062
-580.318	0.105	11720724cytbx_bcl16_0287
-580.299	0.104	11720720cytbx_bcl12_0204
-580.274	0.093	11720721cytbx_bcl13_0169
-580.246	0.093	11720719cytbx_bcl11_0116
-580.243	0.094	11720714cytbx_bcl8_0412
-580.213	0.127	11720716cytbx_bcl10_0266
-580.195	0.097	11720713cytbx_bcl7_0269
-580.191	0.098	11720722cytbx_bcl14_0377
-580.183	0.082	11720711cytbx_bcl5_0440
-580.171	0.086	11720719cytbx_bcl11_0011
-580.143	0.100	11720725cytbx_bcl17_0016
-580.125	0.085	11720722cytbx_bcl14_0009
-580.115	0.068	11720716cytbx_bcl10_0067
-580.113	0.103	11720708cytbx_bcl2_0345
-580.098	0.085	11720727cytbx_bcl19_0378
-580.080	0.089	11720725cytbx_bcl17_0161
-580.069	0.091	11720725cytbx_bcl17_0022
-580.045	0.083	11720709cytbx_bcl3_0078
-580.045	0.106	11720702cytbx_bcl20_0234
-580.040	0.110	11720715cytbx_bcl9_0469
-580.036	0.106	11720722cytbx_bcl14_0145
-580.035	0.079	11720715cytbx_bcl9_0115
-580.030	0.101	11720709cytbx_bcl3_0388
-580.019	0.092	11720713cytbx_bcl7_0404
-580.005	0.109	11720723cytbx_bcl15_0441
-579.999	0.079	11720724cytbx_bcl16_0150
-579.977	0.097	11720707cytbx_bcl1_0474
-579.953	0.099	11720726cytbx_bcl18_0053
-579.951	0.087	11720709cytbx_bcl3_0445
-579.940	0.094	11720724cytbx_bcl16_0420
-579.935	0.106	11720702cytbx_bcl20_0179
-579.932	0.096	11720725cytbx_bcl17_0320
-579.901	0.068	11720709cytbx_bcl3_0065
-579.895	0.066	11720702cytbx_bcl20_0039
-579.888	0.095	11720702cytbx_bcl20_0069
